ID,PRODUCT,SLOGAN,DESCRIPTION
10,COCÓ,body de tirantes con orificio estratégico de amantis,"Te encanta cómo sienta y cómo tersa tu piel la tela de rejilla pero tú eres un poco más dulce y no te va tanto el toque kinky…He aquí la seducción hecha prenda para ti.Body Cocó de amantis, es hiper elástico, suave y adaptable a tu cuerpo como el tejido de rejilla pero con un diseño de patrón barroco, a rayas y mini florecitas interminables, digno de novela francesa.Y si te gusta esta línea, recuerda que también disponemos de este modelo en su versión medias con liguero Rococó.Sal con él puesto bajo un vestidazo, elevarás tu look directamente a otra liga y te sentirás diosa del erotismo. De una sola pieza y abertura en la zona genital, te embriagarás de sensualidad y te verás divina al poder dejártelo puesto en todo momento.Y a la hora del juego te verás vestida pero irás desnuda… ¡Maravilla!"
11,EISSELY,medias abiertas para recorrer,"Que las medias son un complemento súper favorecedor, eso no es ningún secreto, pero ¿cuántas se habrán roto en su primer uso tras una noche de desenfreno? En amantis pensamos como satisfacer cada uno de tus deseos, por eso estas medias con abertura son perfectas para lucir en público… ¡y en privado! porque tienen acceso directo a tus zonas más calientes: donde quieras y cuando quieras.Con un precioso estampado floral que queda sexy a rabiar y un diseño de cintura alta, estas medias de red se adaptan perfectamente a cada tipo de cuerpo, resaltando tus curvas sin marcar o apretar.Porque la seducción y la comodidad no son incompatibles. Si todavía no te has decidido, mira el precio y llévatelas ya."
12,INLUB,Lubrica tu interior con precisión,"Estás ante el aliado perfecto para aplicar lubricante justo donde lo necesitas: en tu interior.Tienes dos opciones para rellenarla: Pon su punta dentro del tarro de tu lubricante favorito y tira de la anilla para que su interior coja tanta cantidad como necesites. O puedes extraer completamente su émbolo y rellenar su tubo con tu lubricante.Sea como sea, disfruta de un deslizamiento preciso y sin derrames en cualquier práctica con penetración. Su diseño firme y delgado es fácil de usar hasta principiantes y su suave punta redondeada facilitará su entrada en cualquier orificio de tu cuerpo. Incluso puedes usar tu INLUB para rellenar tu masturbador preferido.Tan simple como imprescindible."
13,CAMILLE,body camiseta floral con cuello halter de amantis,"Hazte con esta pieza clave para tus looks más sofisticados, sexy y rompedores, combinándolo con tus prendas de calle. Y consigue un look super actual, sintiéndote la más sensual del lugar.Nuestro body camiseta Camille de Amantis, fusiona un delicado y precioso patrón floral con líneas en V, alargando visualmente; figura, escote y una zona pélvica de escándalo.Remata potenciando cuello y hombros con un cuello halter, dejando la espalda al aire y cortando respiraciones a cada paso.¿A que estás deseando sentir tus ingles enfundadas en un Camille?"
14,TOK anal 10,Vibrador anal con 10 modos de vibración,"El vibrador anal más vendido de amantis ahora es un 10% más potente y con 10 programas diferentes de vibración. TOK anal 10 es, obviamente, un juguete totalmente unisex, un fantástico explorador de los placeres anales, sea cual sea tu sexo o el grado de experiencia en esta materia. De suavísima y deslizante silicona, tiene la elasticidad necesaria para adaptarse cómodamente en tu interior, pero a la vez la consistencia justa para adentrarse lentamente pero con decisión y suavidad en un cuerpo que cada vez será más receptivo y con ganas de pasarlo bien y que se encontrará ahora más preparado para disfrutar de una buena sesión de sexo anal más severo. Además su vibración se reparte desde la bala vibradora de su base por todo tu TOK anal 10, ayudándote a despistar y relajar tu cuerpo antes de comenzar su recorrido de placer. Simplemente lubrícalo con Desliz! de agua (por ejemplo) y acaricia circularmente la zona con la puntita de tu TOK anal, después muy lentamente introduce una a una las bolitas tailandesas y juga con ellas girándolas sobre sí mismas o como quieras, al ser la primera tan pequeñita entrará con gran facilidad, el resto... entrarán solas, pero no dejes de probar a sacarlas todas a la vez durante el orgasmo, algún espasmo, sensaciones extrañas de vacío, escalofríos o tener toda la piel de gallina pueden acompañar y potenciar el que será uno de los mejores orgasmos de tu vida. Además es totalmente sumergible, así que podrás disfrutarlo en tu ducha o baño.¿No crees que ya TOKa?"
15,YOLA,"Suave, Texturizada y Preciosista, masturbación definitiva","Tócala y siente su tacto extraordinario. YOLA es una preciosa vagina que encenderá sensaciones cuando la mires y sientas sus 500 gramos de peso.Te presentamos la nueva manga masturbadora masculina de amantis YOLA VULVONIC. Su forma externa te hará preguntarte si viene del cielo o del infierno más caliente. Pero si todavía no te ha convencido, cuando toques su interior sabrás que no te arrepentirás nunca de haberla adquirido.Su interior texturizado ultra suave, está repleto de detalles, valles, ondulaciones y sinuosidades, ha sido diseñada para que la goces sin descanso, a solas o en compañía.Añade unas gotitas de tu lubricante de agua favorito y acariciala por fuera y por dentro, sentirás la presión que ejerce su suave y estrecho canal, meticuloso, repleto de noches de sexo cálido y extenuante.Entrar en YOLA te hará descubrir una cavidad diferente, te llevará a un orgasmo incontrolable e intenso. Sólo tienes que utilizar un lubricante como Desliz!. No olvides que si la sumerges en agua caliente la experiencia será todavía más real. Se adaptará a la forma de tu pene por su elasticidad.¿Vienes a tocar a YOLA a nuestras tiendas o te la enviamos a casa?"
16,BUTTERFLY,Bodysocking de fina malla con detalle floral,"Una metaforfosis te espera cuando te enfundes en este body completo cual mariposa recién salida de su crisálida, ansiosa por disfrutar, descubrir y embellecer todo a su delicado paso.Siente como se funde con tu piel y te hace sentir más espectacular y muy cómoda. Disfruta de los contoneos y de todas las posturas del entretenido Kamasutra con él puesto porque lleva una apertura total entre las piernas que hará que nunca tengas que quitártelo.Un body completo de pie cerrado y malla muy fina, elástica, que se adapta fácilmente a todas las formas, de tirante ancho y escote delantero y trasero simétrico y con un detalle floral central con forma de bella mariposa que da nombre a esta pieza.¿Te apetece lucis un escote profundo y que las alas de esta mariposa se cierren en tu espalda? póntelo al revés porque este body es reversible.¿Cómo no vas a quererlo si es un fondo de armario imprescindible?"
17,DULCE TORMENTO,pala de bambú para azotes,"¿Qué dirías si dijéramos que existe una pala que, además de permitirte jugar con azotes duros y preciosos respeta el medio ambiente?El bambú se ha utilizado a través de la historia no solo por la fuerza del material, sino también por ser un material muy respetuoso con el medio ambiente. Es una planta ecológica y multifuncional, elástica y liviana pero a la vez muy resistente.Te preguntarás cómo es posible provocar tantas sensaciones con una pala de madera tan ligera. Te lo advertimos: una vez la pruebes, no querrás parar.Ajusta su cordón beige a tu muñeca y prepara a tu Bottom. Los orificios circulares y con forma de corazón que decoran con dulzura esta pala también decorarán su piel con cada uno de los azotes que le brindes.Observa cómo se plasman las delicadas figuras, a medida que la piel va adquiriendo un tentador tono rojizo, hasta acabar creando toda una obra de arte corporal…Gracias a su gran ligereza, y a su mango ergonómico, podrás controlar con precisión la intensidad de la azotaina, y provocar una enorme variedad de sensaciones... Comienza con golpes suaves y rítmicos, para calentar el ambiente y preparar a tu amante… Y ¡chas! Da un único azote más intenso y sonoro. Verás qué fácil y divertido es conseguir hacer estremecer..."
18,MAGIC CUP,Masturbarse mola un huevo,"Masturbarse mola un huevo y si es con cualquiera de nuestros huevos masturbadores Magic Cup, la experiencia será épica. Bajo su cáscara este huevo tamaño XL esconde todo un mundo de sensaciones que hará que la masturbación alcance una dimensión completamente nueva.  Elige tu experiencia Magic Cup entre una de sus seis irresistibles formas y prepárate para sentir las intensas sensaciones que estos huevos son capaces de despertar en ti. Una jugosa boca, una carnosa vulva o un estrecho ano harán la experiencia tan deliciosa e increíble que te volverás incondicional de la dieta que recomienda un huevo al día.Magic Cup Naranja: su delicada vulva esconde una estructura interna en líneas que te lleva a su interior, donde disfrutarás sensaciones cambiantes gracias a sus anillos estriados y un final punteado.Magic Cup Azul: Una vulva carnosa con un marcado Punto G te invita a un interior de seductores anillos de estrías que te harán recrearte en cada penetración.Magic Cup Morado: Una hermosa vulva estilo mariposa, con labios menores desplegados, te seduce para encontrar su marcado Punto G y disfrutar su interior de deliciosas estrías.Magic Cup Rosa: Una boca carnosa  y seductora te arrastra a un delicioso interior de marcadas líneas con un irresistible final punteado de efecto lengua.Magic Cup Verde -Descubre las delicias de un ano realista con una entrada muy estrecha y las potentes sensaciones de las estrías más marcadas de toda la gama.Magic Cup Rojo -> Una vulva estilo tulipán que esconde sensaciones increíbles con múltiples puntos alineados que te arrastrarán hasta su húmedo y delicioso fondo."
19,BALLENATO,tu vibrador a distancia con aleta móvil y sumergible,"De las profundidades más húmedas llega BALLENATO, el nuevo vibrador ergonómico de AMANTIS.Este grandioso cetáceo vibrante es poseedor de una colita estructurada que adquiere la forma que tú le des. De tal manera que podrías usarlo: como un potente dildo (dejando la aleta articulada en línea recta), como juguete de doble estimulación (vagina- clítoris / ano- perineo) o como vibrador tipo C (insertando sólo la parte de la aleta y permitiendo la penetración mientras lo llevas puesto)… entre muchas otras formas de estimulación externa.Además, BALLENATO es disfrutón y aparte de pasarlo muy bien en el hogar y recrearse en los juegos húmedos del baño, le encanta dar paseos al aire libre o incluso que lo saques a cenar porque gracias a su mando a distancia, podrás llevarlo puesto y activarlo allá donde tú quieras.Hazte ya las veinte mil leguas de viaje submarino con sus múltiples y diversas inmersiones.¡FREE BALLENATO!"
20,Vibrador Líquido con sabor Desliz! VIBRAGEL 10ml,hormigueo oral,"¿Alguna vez has sentido un hormigueo en lo más profundo de tu ser? Nace un nuevo concepto de Desliz! los lubricantes by amantis.Reparte unas gotas de este vibrador líquido en tus zonas más húmedas y redescubre el sexo. El hormigueo que despertará en ti no te dejará indiferente.¡Déjate lamer! el sabor de este potenciador os dará un nuevo universo durante el sexo oral... o mejor aún, úsalo como si de un gloss se tratase y sorprende a tu pareja. Podrás escoger entre frutos rojos si te van los sabores más dulzones, la fresa si quieres apostar por algo un poco más ácido y fresco, la cereza si te gustan las piruletas, o el melocotón si te gustan las frutas jugosas.Este formato de 10ml es ideal para llevar siempre contigo, discreto y listo para usar en cualquier situación. Si necesitas más también tienes el formato 30ml."
21,SUTYEN,Body de encaje floral con efecto liguero,"¿Quieres vestirte de una sola pieza y quedar de escándalo? Con este body de estampado floral de amantis lo conseguirás con creces. Cómodo, sexy y elegante. ¿Qué más se le puede pedir?Puedes ponértelo sin más en casa para salir a matar sin necesidad de quitártelo o superponerle tu vestido favorito y que, a la hora de la verdad, se queden con la boca abierta si pensaban que llevabas unas simples medias de encaje…Los tirantes de finas tiras y la apertura central en el torso y espalda le dan un toque pícaro a un estampado elegante y original, que se coloca fácilmente y se ajusta a tu cuerpo como un guante.Aprovecha esta pieza de lencería para realzar tu belleza en un solo paso."
22,FRESH GIRL,6 Kilos y 40cm de piel real disfrutable,"FRESH GIRL es una bocanada de aire fresco en tus noches de auto-disfrute, una manera de acercarte a tus propias experiencias y reconocer que a veces, la vida es sueño. Tendrás que pellizcarte cuando termines.FRESH GIRL es una auténtica diosa del placer. La vamos a recorrer de arriba a abajo para que no tengas dudas de que puede ser la mejor compra de este año.FRESH GIRL tiene unos pechos tremendamente generosos, con los pezones mejor perfilados que puedas imaginar, su pecho es tan abultado y terso que cuando tu pene los acaricie querrá sentirlos abrazandote.FRESH GIRL tiene una cintura de avispa para poder sujetarla firmemente en cada embestida y unas amplias caderas, robustas que te acompañarán durante muchos años en tus juegos más íntimos si la cuidas correctamenteFRESH GIRL es tan pesada que tendrás que usar tus dos manos para darle la vuelta, pero es que cuando veas su hermoso trasero es tan perfecto, tan latino, tan real, que no querrás quitarle ojo… ni la mano.FRESH GIRL se puede disfrutar de múltiples maneras. Ambos canales son practicables, lo que te permitirá aumentar las sensaciones en una doble penetración (Que gran idea!, hazte con un dildo de amantis para cumplir tus fantasias) Tienen textura interior de burbujas para maximizar el placer, una cuidada reproducción de la vulva y ano que invitan a perderse en ellos.Una oportunidad única de vivir sensaciones tan reales que cuesta creerlo. Además, las experiencias con asistentes masturbadores super reales te pueden ayudar a mejorar tu “performance” en encuentros reales, a tener un mayor control sobre tu cuerpo y retrasar la eyaculación entre otros beneficios.También puedes escoger a su prima VENUS, que acaba de llegar a amantis con más curvas todavía!Empieza mañana mismo a disfrutar con FRESH GIRL. Ya sabes, clic clic,clic... ding dong!"
23,RABBIT,plug anal con pompón de conejito,"Rabbit es un excelente complemento de juegos.Este Dildo anal no solo te ayudará en el proceso de dilatación, si no que una vez dentro de ti se adaptará a tu cuerpo y gracias a su gustoso pompón te hará sentir tremendamente sexy. Es difícil resistirse a la suavidad de Rabbit, así que tu trasero se convertirá en toda una tentación y será el gran deseado de la noche. Pero tranqui, las cosas hay que tomárselas con calma, y sobre todo en esto del sexo anal, así que, ¿por qué correr tanto? Antes de introducir a Rabbit en su madriguera juega con él, mientras con los dedos acaricias tu ano deja que la suavidad de este pompón recorra tu cuello, tu vientre, tus piernas… Para que cuando Rabbit llegue a su destino le estén esperando con los brazos abiertos.Su cuerpo de metal te permitirá jugar con diferentes temperaturas, prueba a enfriarlo en la nevera o meterlo en un poco de agua tibia antes de introducírtelo y experimenta diferentes sensaciones.Solo necesitarás unas gotitas de tu lubricante anal favorito para descubrir lo placentero que es tener un Rabbit en tu vida."
24,PASSION CUP,masturbador masculino,"La masturbación es hacernos el amor, por ello, no deberíamos escatimar en mimarnos y darnos todo el placer que esté en nuestra mano. Os presentamos las nuevas cápsulas PASSION CUP, unas mangas masturbadoras con tres formas realistas diferentes: boca, ano, y vagina. Cada una de ella viene en una cápsula rígida para su conservación, de esta manera podremos aumentar los usos y la duración de nuestra manga masturbadora.Están fabricadas con silicona médica hipoalergénica y biocompatible, al tacto es muy parecido a la piel real, tan suaves y cálidas que por un momento te olvidarás de dónde estás. Su interior está diseñado para que la experiencia sea lo más real y cercana posible a tu elección y gusto.Cada modelo tendrá un diseño anatómico diferente, destacando la forma de ano por su estrechez, la forma de vagina por su textura y la de boca por su estrechamiento en la punta imitando más a una garganta. Tiene dos extremos, en uno de ellos está la forma de vagina, ano o boca, y el otro extremo, en donde acaba la manga. No es cerrado, si no que es abierto para poder eyacular con libertad y también para facilitar su limpieza.Como se utiliza el masturbador masculino PASSION CUPUna vez tengas este juguete entre tus manos comienza abriendo la lata y sacando la manga masturbadora de dentro de la cápsula. Para hacer la experiencia jugosa aplica un lubricante de agua como Desliz! y deja que tu mano baile al ritmo de lo que el cuerpo te pida.Comienza estimulando el glande con el exterior de la manga y poco a poco introduce tu miembro sintiendo cada uno de los relieves del interior. Siente y disfruta el masaje que puedes recibir, que distará mucho de hacértelo tú solx con la mano.Te sugerimos que consideres también la opción de meter este tipo de juguetes en tus relaciones, quizás te sorprendas de lo excitante que puede llegar a ser que te vean como te masturbas o ver a alguien masturbándose. También es ideal para visualizar como, si estás en una relación heterosexual, tu pareja se relaciona con los genitales de su mismo sexo. Este tipo de mangas tienen entre diez y quince usos, depende de cómo la cuides a lo largo del tiempo. Para alargar su vida útil todo lo posible, te recomendamos que uses algún tipo de polvos de talco revitalizadores especializados en el mantenimiento de mangas masturbadoras para pene."
25,TRIS_TRAS,anilla con vibrador para doble penetración TRINITY,"Recibir una doble penetración es una de las fantasías más comunes, pero… ¿cómo llevarla a cabo sin los líos de involucrar a una tercera persona?Te presentamos a TRIS-TRAS TRINITY, el dildo de silicona que se sujetará al pene de tu amante con una anilla, y que estimulará tu clítoris con su bala vibradora. Un tres en uno en toda regla. Por delante y por detrás.Pide a tu acompañante que juegue contigo haciendo círculos con vuestro nuevo juguete, acompañado de vuestro lubricante a base de agua favorito, mientras lo introduce y lo saca de tu ano. Siente el pene de tu amante dentro de tu vagina y cada una de las cuatro bolas de Trinity entrar y salir de tu lado oscuro al ritmo que marquen vuestros cuerpos.Tu clítoris no quedará desatendido: sus finos hilos de silicona dispersarán la vibración de la bala vibradora como si de un mosquito se tratara, incansable e imparable con sus 7 modos de vibración.Prueba por fin la doble penetración: por delante y por detrás... TRIS-TRAS."
26,Bolsa de satén para guardar juguetes eróticos,,"Escoge el tamaño, el color y olvídate de seguir guardando tus juguetes en inventos caseros (calcetines, etc...) o de dejarlos al libre albedrío en tu pequeño cajón de los deseos... ahora podrás guardarlos en estas bonitas bolsas de satén, especialmente pensadas para mantenerlos en perfecto estado. Son ideales para mantener tus juguetes a salvo del polvo, suciedades varias o para protegerlos de incompatibilidades entre materiales. Introduce tu apreciado juguete y tira de sus cordoncitos para cerrarlas. Las bolsas están doblemente forradas para mayor calidad y son lavables. Esperamos que os gusten :)Pequeña: 15 x 10 Cm (bolas chinas, pequeños vibradores no mayores de 12 Cm, Desliz! 100ml)Mediana: 20 x 10 Cm (vibradores medianos, tipo Fun Factory serie G)Grande: 24 x 14 Cm (vibradores grandes tipo rotadores, realísticos, hasta 22Cm)XL: 30 x 20 Cm (vibradores grandes tipo rotadores, realísticos, hasta 26Cm)Puedes usar la bolsita plástica interior para proteger el material si tu juguete es súper delicado, recuerda dejarla abierta para que transpire y solo tirar de los cordones para ahuyentar al polvo."
27,LINEAS INFINITAS,medias con liguero para piernas de infarto,"¿Quieres la elegancia de unas medias, con la comodidad de unas panties? Ya no te debatas más entre unas u otras, con estas medias con liguero incorporado tendrás lo mejor de ambos mundos.Con un patrón que combina líneas verticales y una delicada rejilla, estas medias alargarán tus piernas hasta el mismísimo cielo. Por si fuera poco su parte superior tiene un patrón diferente que adornará tus piernas y su gran elasticidad permite que se adapten a diferentes tipos de piernas.¿Qué es lo mejor? ¡Que no dejan marca, ni se caen! Al no tener costura en su unión con el liguero, respeta las curvas originales de tu cuerpo.Combínalas con tus vestidos y faldas favoritas, y sorprende a tu pareja de juegos en el momento apropiado. No necesitarás quitártelas para absolutamente nada. (Y tampoco querrás...)"
